filename,listnumber,assignmentid,hitid,workerid,origin,timestamp,partid,questionid,quid,description,exampletrue,examplefalse,run,completionurl,name,id,uuid,timestamp_datetime,time_taken,started_datetime,completed_datetime,duration_in_seconds,answer,relation,property,concept,f_name_full
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,55d60352-d1f2-4403-b7b6-d95c389fb548,PROLIFIC,16-Feb-2021 14:49:46,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),419294,fd313605-03f5-460e-b80f-1997504e8a3a,2021-02-16 14:49:46,585.29,2021-02-16 13:44:04.226000,2021-02-16 13:53:49.516000,3.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,e3ffde5b-617d-4c35-ac51-612482566f98,PROLIFIC,16-Feb-2021 13:36:38,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),417437,6ccc0c52-bf18-44f1-b8e2-9cd786123973,2021-02-16 13:36:38,319.187,2021-02-16 12:33:48.041000,2021-02-16 12:39:07.228000,4.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,60de1a50-4fae-4547-bec0-df4ada9b6d98,PROLIFIC,16-Feb-2021 14:08:48,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),417877,7e2f5630-9019-4ddb-b1e3-38e1b0aea3ee,2021-02-16 14:08:48,673.654,2021-02-16 12:59:58.885000,2021-02-16 13:11:12.539000,6.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,a3b6a0f4-3753-4923-97d4-d0e3646f567f,PROLIFIC,16-Feb-2021 14:14:55,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),418070,31ee7c93-2f76-407b-9789-52ec1b3aea13,2021-02-16 14:14:55,673.106,2021-02-16 13:06:29.053000,2021-02-16 13:17:42.159000,4.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,0a9070ef-fe6e-43e0-946f-c5703293e89c,PROLIFIC,16-Feb-2021 14:39:33,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),418838,862bba87-70e8-4e7d-938b-de4e9ff86930,2021-02-16 14:39:33,329.112,2021-02-16 13:34:16.300000,2021-02-16 13:39:45.412000,4.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,d55af4ba-89ac-4acc-adb7-e63416ad090a,PROLIFIC,16-Feb-2021 14:33:08,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),418538,7ae8b758-adab-4eb8-8f8e-be0f2149c46f,2021-02-16 14:33:08,684.381,2021-02-16 13:23:11.088000,2021-02-16 13:34:35.469000,2.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,be204dc5-09e9-408c-9db5-fc8510993830,PROLIFIC,16-Feb-2021 14:41:53,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),418922,ab2b1a20-9618-4005-b255-d3f2a3fe1bf3,2021-02-16 14:41:53,269.878,2021-02-16 13:39:22.952000,2021-02-16 13:43:52.830000,4.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,1df65453-48aa-47ca-900a-369b16d53a34,PROLIFIC,16-Feb-2021 14:19:26,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),418247,c7464bda-0818-4f87-870b-f404e278ea33,2021-02-16 14:19:26,389.52,2021-02-16 13:15:26.795000,2021-02-16 13:21:56.315000,4.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,19b4d509-2f01-40f5-846b-dd875232e8df,PROLIFIC,16-Feb-2021 14:03:40,1186,47465,test2_true,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. ,``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. ,5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),417699,c165c0b1-b454-4683-b3f2-02d9d547e3e0,2021-02-16 14:03:40,369.754,2021-02-16 13:02:27.744000,2021-02-16 13:08:37.498000,3.0,true,typical_of_property,white,snow,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
qu70-s_qu3-batch5.csv-2,2,NOT AVAILABLE,NOT AVAILABLE,55d60352-d1f2-4403-b7b6-d95c389fb548,PROLIFIC,16-Feb-2021 14:53:43,1186,47391,f7b74ec8-5028-4d5c-82a5-a26123b876f7,"You can find (a/an) toilet which is warm. (A/an) toilet is usually either warm, a bit more or less warm or the opposite of warm.","You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp, a bit more or less sharp or the opposite of sharp.","You can find (a/an) substance which is solid. (A/an) substance is usually either solid, a bit more or less solid or the opposite of solid.",5_scalar_heat-set_extension_full_range,https://app.prolific.co/submissions/complete?cc=79D8BAA7,Agree or disagree (run5_scalar_heat-set_extension_full_range-experiment_scalar-batch5-70-70),419598,6adebfef-b1ce-4dc2-ac65-59b46dce2cff,2021-02-16 14:53:43,585.29,2021-02-16 13:44:04.226000,2021-02-16 13:53:49.516000,14.0,false,variability_open,warm,toilet,../data/prolific_output/run5_scalar_heat-group_scalar_heat/qu70-s_qu3-batch5.csv
